PROLIFIC_PID,sex,ethnicity,race,age
5c7e91c1973c990016ea72b0,female,Not Hispanic or Latino,White,55
5e753094e8a6f10a9805ed9a,female,Not Hispanic or Latino,White,64
5e67052c757e6149c38ce468,male,Hispanic or Latino,Other,23
5d89106d1719af0001ee23e5,female,Not Hispanic or Latino,White,47
5dc5bd296a8a334443fbf216,female,Not Hispanic or Latino,White,48
5dce29700ad506063969a4a5,female,Not Hispanic or Latino,White,36
5d6394518df2870001a74b42,female,Not Hispanic or Latino,White,23
5e784ba802c79b3c2e227bd3,male,Not Hispanic or Latino,Multiracial,21
5bdd368719b9ba000157fb12,female,Hispanic or Latino,White,28
5e4a0a67110b3747ea173d60,male,Not Hispanic or Latino,White,56
5e605d713d60473af936cc65,male,Not Hispanic or Latino,Asian,26
574ce0a57fd0ec000db73aa6,female,Not Hispanic or Latino,White,69
5d75c56a52c89d0017df611c,female,Not Hispanic or Latino,Black,38
55bb74f1fdf99b1519ef4762,male,Not Hispanic or Latino,White,48
5a8ce265000dab00018ce084,female,Not Hispanic or Latino,White,50
5c72efa770d5a200018028f1,male,Not Hispanic or Latino,White,71
5c30b2a910677f0001dda4c8,female,Not Hispanic or Latino,White,50
5d506e6d4040a40016bb186a,male,Not Hispanic or Latino,White,74
57f0d96061e8340001877045,male,Not Hispanic or Latino,White,58
5db4a409d27e05000f0eaa00,male,Not Hispanic or Latino,White,29
5dcfc4a09595a10cd3ef3e59,female,Not Hispanic or Latino,Asian,20
59349d79f1b3f00001964d04,female,Not Hispanic or Latino,White,61
58d7d2c2e9b6dc000129148a,male,Not Hispanic or Latino,White,24
5d464c8a4bfe160001692125,female,Not Hispanic or Latino,American Indian/Alaska Native,23
5e455faf462e0802d9d9c3e2,male,Hispanic or Latino,White,25
5aea962d0ef2f20001858c9c,male,Not Hispanic or Latino,White,36
5e4b793f03c92a08a6d28e3f,male,Not Hispanic or Latino,Asian,21
5c29b88810677f0001dc2c56,male,Not Hispanic or Latino,White,54
5dc9a379d210e46baff956fb,male,Hispanic or Latino,Other,20
5cc15d5d3f664f001594a8ce,male,Not Hispanic or Latino,White,32
5e6690ca0ef3a301da87b4d9,female,Not Hispanic or Latino,Asian,26
59235471e937bd0001ca0245,female,Not Hispanic or Latino,Black,21
5cbc071f2edc3b00018ab097,male,Not Hispanic or Latino,Asian,36
5e49fdf1a95b8c46bd19f1eb,female,Not Hispanic or Latino,Black,49
5c804f4092ad770015846011,female,Not Hispanic or Latino,Asian,55
55b0eabffdf99b2228330785,female,Not Hispanic or Latino,White,65
5e2897fd0351e803a40629a5,female,Not Hispanic or Latino,White,24
5db103ed236ef00013611a6f,female,Not Hispanic or Latino,White,36
5d52d9233d8e6b001b0dcd7f,female,Not Hispanic or Latino,White,34
5c1b06d9a329230001ecc39c,male,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,25
5de7d12c26dd95000b6824c5,male,Not Hispanic or Latino,White,44
5e576e085069e61204a85872,male,Hispanic or Latino,White,19
5e684375c130c31002de5a3b,male,Not Hispanic or Latino,White,44
5bd0607192f92c0001f84021,female,Not Hispanic or Latino,Black,34
5e8422f22612591891e71bb6,male,Not Hispanic or Latino,Black,18
579e1e2b275be6000135af15,male,Not Hispanic or Latino,White,44
5dec30eb6c078132a7db440e,female,Not Hispanic or Latino,White,58
5cbe7fdb82218d00172aa4f3,female,Not Hispanic or Latino,White,60
5dd406d9c23e0d3e6dacc034,female,Not Hispanic or Latino,White,54
55b9a9b0fdf99b6906d2aba4,male,Not Hispanic or Latino,White,64
5e2298499138e055cfd97ae0,female,Hispanic or Latino,White,49
5dcf50f05686c1099819882a,male,Not Hispanic or Latino,White,66
5cdcd4ca9f75db0001411660,male,Not Hispanic or Latino,White,35
5e838c804a170009da55fd93,male,Not Hispanic or Latino,Multiracial,21
5d1dd3126c07ef0015d8c375,female,Hispanic or Latino,White,28
5d2d8b999c6703001525304f,male,Hispanic or Latino,White,25
5e78d6a0bc70c94664aae415,male,Not Hispanic or Latino,Asian,24
5910a67f5a530d00011f9561,female,Not Hispanic or Latino,White,52
5dc208b532b0ad172977f774,female,Hispanic or Latino,Multiracial,19
5e5d3499f5bf520402da1afd,male,Hispanic or Latino,White,23
5dabebf8e022cd0014da4c87,female,Not Hispanic or Latino,Asian,25
5658000ca9872d0011e1ba26,male,Not Hispanic or Latino,White,30
5b6a87d2cda8590001db8e07,male,Not Hispanic or Latino,Asian,39
5e821582c17c6e04dc59cba6,male,Not Hispanic or Latino,White,21
5bf0c68c5fc1db0001306ab0,male,Not Hispanic or Latino,White,63
5c7560f14f23e50016135028,female,Not Hispanic or Latino,White,68
5dcef23382a527033b089d39,female,Not Hispanic or Latino,White,55
5e7936ef4267fa4e275183e6,male,Not Hispanic or Latino,White,21
5bdc96a7ba6cc10001854ac8,female,Not Hispanic or Latino,Black,30
5d02b1ce6c69cf00162f5f1a,male,Not Hispanic or Latino,White,38
5e3dff6b8714b707b9a258b0,male,Not Hispanic or Latino,White,35
5dec8925be656d35d4005320,male,Not Hispanic or Latino,White,56
5b05e0d131cebe000177c38e,male,Not Hispanic or Latino,White,38
5b68cd41263ecb0001343cb9,male,Not Hispanic or Latino,White,23
5c6244086937550001232ae6,male,Not Hispanic or Latino,White,34
54847f1cfdf99b07b28f22f9,male,Not Hispanic or Latino,Black,47
5d8de6eaafa2c40019f2375e,female,Not Hispanic or Latino,White,58
5c1976c90d57c30001b4162c,female,Not Hispanic or Latino,White,68
5add6b6aeb60400001536f2c,female,Not Hispanic or Latino,Black,66
5dc47919b9fad3334f969660,male,Not Hispanic or Latino,White,56
5deb341d35575a2547b1f85a,female,Not Hispanic or Latino,White,35
5e53e22ea0002e3e73720f65,female,Hispanic or Latino,Other,22
5e342c631b5eee3eb31540ce,female,Not Hispanic or Latino,Asian,20
568e7f66e3ef9e000ba1a089,female,Not Hispanic or Latino,White,61
5c6fb7c3c114eb00018b3154,male,Not Hispanic or Latino,Black,27
5c5297ba1841c80001393988,male,Not Hispanic or Latino,White,26
5dd35aea9b6104366fef1a90,female,Not Hispanic or Latino,White,49
5e6fde86b3ea9e5bb33664e4,male,Not Hispanic or Latino,Asian,19
5dc9afa52b1e546c412adfba,male,Not Hispanic or Latino,White,28
59dd8d01ae9f950001d83c4b,male,Not Hispanic or Latino,Asian,23
5e65dca1d639df34800674a8,female,Not Hispanic or Latino,Asian,19
5c5f38037676860001000edb,female,Not Hispanic or Latino,Other,54
5de0b69ba91be311cb773b0b,male,Not Hispanic or Latino,White,18
5a1cddb4087f2e0001eafb99,female,Not Hispanic or Latino,White,41
5e05b7747dd477fc2d2d2857,male,Not Hispanic or Latino,White,62
5e6a418620befe00096983d2,female,Not Hispanic or Latino,White,46
5c1021a547d07800011a23de,female,Not Hispanic or Latino,White,62
5e4b550cbc830a0625f5ceff,male,Not Hispanic or Latino,Black,25
5c5c4179ee8ba60001336bb1,male,Not Hispanic or Latino,White,26
58d9a79c33fef3000118abdf,male,Not Hispanic or Latino,White,30
